Fecha,Temporada,Equipo2,Equipo1
8/09/1979,1979-1980,Rayo Vallecano,Betis
8/09/1979,1979-1980,AD Almería,Español
8/09/1979,1979-1980,Sevilla,Sporting de Gijón
8/09/1979,1979-1980,Las Palmas,Real Sociedad
9/09/1979,1979-1980,CD Málaga,Burgos
9/09/1979,1979-1980,Atlético de Madrid,Hércules
9/09/1979,1979-1980,Valencia,Real Madrid
9/09/1979,1979-1980,Athletic Club,Salamanca
9/09/1979,1979-1980,Barcelona,Zaragoza
15/09/1979,1979-1980,Real Sociedad,Athletic Club
15/09/1979,1979-1980,Sporting de Gijón,Atlético de Madrid
15/09/1979,1979-1980,Betis,Barcelona
15/09/1979,1979-1980,Hércules,Las Palmas
15/09/1979,1979-1980,Español,CD Málaga
15/09/1979,1979-1980,Salamanca,Valencia
16/09/1979,1979-1980,Zaragoza,AD Almería
16/09/1979,1979-1980,Real Madrid,Rayo Vallecano
16/09/1979,1979-1980,Burgos,Sevilla
22/09/1979,1979-1980,Zaragoza,Español
23/09/1979,1979-1980,AD Almería,Betis
23/09/1979,1979-1980,Atlético de Madrid,Burgos
23/09/1979,1979-1980,Las Palmas,Sporting de Gijón
23/09/1979,1979-1980,Athletic Club,Hércules
23/09/1979,1979-1980,Sevilla,CD Málaga
23/09/1979,1979-1980,Valencia,Real Sociedad
23/09/1979,1979-1980,Barcelona,Real Madrid
23/09/1979,1979-1980,Rayo Vallecano,Salamanca
29/09/1979,1979-1980,CD Málaga,Atlético de Madrid
29/09/1979,1979-1980,Burgos,Las Palmas
29/09/1979,1979-1980,Hércules,Valencia
30/09/1979,1979-1980,Real Madrid,AD Almería
30/09/1979,1979-1980,Sporting de Gijón,Athletic Club
30/09/1979,1979-1980,Salamanca,Barcelona
30/09/1979,1979-1980,Real Sociedad,Rayo Vallecano
30/09/1979,1979-1980,Español,Sevilla
30/09/1979,1979-1980,Betis,Zaragoza
14/10/1979,1979-1980,Athletic Club,Burgos
14/10/1979,1979-1980,Betis,Español
14/10/1979,1979-1980,Valencia,Sporting de Gijón
14/10/1979,1979-1980,Rayo Vallecano,Hércules
14/10/1979,1979-1980,Las Palmas,CD Málaga
14/10/1979,1979-1980,Barcelona,Real Sociedad
14/10/1979,1979-1980,Zaragoza,Real Madrid
14/10/1979,1979-1980,AD Almería,Salamanca
14/10/1979,1979-1980,Atlético de Madrid,Sevilla
20/10/1979,1979-1980,Hércules,Barcelona
20/10/1979,1979-1980,Sevilla,Las Palmas
20/10/1979,1979-1980,Burgos,Valencia
21/10/1979,1979-1980,Real Sociedad,AD Almería
21/10/1979,1979-1980,CD Málaga,Athletic Club
21/10/1979,1979-1980,Español,Atlético de Madrid
21/10/1979,1979-1980,Real Madrid,Betis
21/10/1979,1979-1980,Sporting de Gijón,Rayo Vallecano
21/10/1979,1979-1980,Salamanca,Zaragoza
28/10/1979,1979-1980,Las Palmas,Atlético de Madrid
28/10/1979,1979-1980,Rayo Vallecano,Burgos
28/10/1979,1979-1980,Real Madrid,Español
28/10/1979,1979-1980,Barcelona,Sporting de Gijón
28/10/1979,1979-1980,AD Almería,Hércules
28/10/1979,1979-1980,Valencia,CD Málaga
