Fecha,Temporada,Equipo1,Equipo2,Goles1,Goles2
8/09/1979,1979-1980,Betis,Rayo Vallecano,1,2
8/09/1979,1979-1980,Español,AD Almería,5,2
8/09/1979,1979-1980,Sporting de Gijón,Sevilla,2,1
8/09/1979,1979-1980,Real Sociedad,Las Palmas,1,0
9/09/1979,1979-1980,Burgos,CD Málaga,1,0
9/09/1979,1979-1980,Hércules,Atlético de Madrid,2,3
9/09/1979,1979-1980,Real Madrid,Valencia,3,1
9/09/1979,1979-1980,Salamanca,Athletic Club,2,1
9/09/1979,1979-1980,Zaragoza,Barcelona,2,2
15/09/1979,1979-1980,Athletic Club,Real Sociedad,0,1
15/09/1979,1979-1980,Atlético de Madrid,Sporting de Gijón,1,3
15/09/1979,1979-1980,Barcelona,Betis,5,0
15/09/1979,1979-1980,Las Palmas,Hércules,2,1
15/09/1979,1979-1980,CD Málaga,Español,1,2
15/09/1979,1979-1980,Valencia,Salamanca,2,2
16/09/1979,1979-1980,AD Almería,Zaragoza,1,0
16/09/1979,1979-1980,Rayo Vallecano,Real Madrid,1,2
16/09/1979,1979-1980,Sevilla,Burgos,6,1
22/09/1979,1979-1980,Español,Zaragoza,2,0
23/09/1979,1979-1980,Betis,AD Almería,0,0
23/09/1979,1979-1980,Burgos,Atlético de Madrid,1,1
23/09/1979,1979-1980,Sporting de Gijón,Las Palmas,4,1
23/09/1979,1979-1980,Hércules,Athletic Club,2,1
23/09/1979,1979-1980,CD Málaga,Sevilla,2,1
23/09/1979,1979-1980,Real Sociedad,Valencia,0,0
23/09/1979,1979-1980,Real Madrid,Barcelona,3,2
23/09/1979,1979-1980,Salamanca,Rayo Vallecano,3,0
29/09/1979,1979-1980,Atlético de Madrid,CD Málaga,0,0
29/09/1979,1979-1980,Las Palmas,Burgos,2,1
29/09/1979,1979-1980,Valencia,Hércules,0,0
30/09/1979,1979-1980,AD Almería,Real Madrid,1,1
30/09/1979,1979-1980,Athletic Club,Sporting de Gijón,2,3
30/09/1979,1979-1980,Barcelona,Salamanca,0,0
30/09/1979,1979-1980,Rayo Vallecano,Real Sociedad,1,1
30/09/1979,1979-1980,Sevilla,Español,2,1
30/09/1979,1979-1980,Zaragoza,Betis,5,1
14/10/1979,1979-1980,Burgos,Athletic Club,1,1
14/10/1979,1979-1980,Español,Betis,0,0
14/10/1979,1979-1980,Sporting de Gijón,Valencia,4,2
14/10/1979,1979-1980,Hércules,Rayo Vallecano,2,2
14/10/1979,1979-1980,CD Málaga,Las Palmas,1,0
14/10/1979,1979-1980,Real Sociedad,Barcelona,4,3
14/10/1979,1979-1980,Real Madrid,Zaragoza,3,2
14/10/1979,1979-1980,Salamanca,AD Almería,2,1
14/10/1979,1979-1980,Sevilla,Atlético de Madrid,2,2
20/10/1979,1979-1980,Barcelona,Hércules,2,0
20/10/1979,1979-1980,Las Palmas,Sevilla,2,0
20/10/1979,1979-1980,Valencia,Burgos,3,1
21/10/1979,1979-1980,AD Almería,Real Sociedad,0,0
21/10/1979,1979-1980,Athletic Club,CD Málaga,3,1
21/10/1979,1979-1980,Atlético de Madrid,Español,1,1
21/10/1979,1979-1980,Betis,Real Madrid,2,3
21/10/1979,1979-1980,Rayo Vallecano,Sporting de Gijón,1,2
21/10/1979,1979-1980,Zaragoza,Salamanca,1,2
28/10/1979,1979-1980,Atlético de Madrid,Las Palmas,0,0
28/10/1979,1979-1980,Burgos,Rayo Vallecano,1,1
28/10/1979,1979-1980,Español,Real Madrid,0,0
28/10/1979,1979-1980,Sporting de Gijón,Barcelona,4,1
28/10/1979,1979-1980,Hércules,AD Almería,4,0
28/10/1979,1979-1980,CD Málaga,Valencia,2,1
28/10/1979,1979-1980,Real Sociedad,Zaragoza,2,1
28/10/1979,1979-1980,Salamanca,Betis,3,0
28/10/1979,1979-1980,Sevilla,Athletic Club,3,1
3/11/1979,1979-1980,Barcelona,Burgos,1,0
3/11/1979,1979-1980,Las Palmas,Español,1,0
3/11/1979,1979-1980,Real Madrid,Salamanca,2,0
4/11/1979,1979-1980,AD Almería,Sporting de Gijón,0,0
4/11/1979,1979-1980,Athletic Club,Atlético de Madrid,2,1
4/11/1979,1979-1980,Betis,Real Sociedad,1,1
4/11/1979,1979-1980,Rayo Vallecano,CD Málaga,5,1
4/11/1979,1979-1980,Valencia,Sevilla,2,1
4/11/1979,1979-1980,Zaragoza,Hércules,1,0
10/11/1979,1979-1980,Las Palmas,Athletic Club,1,1
11/11/1979,1979-1980,Atlético de Madrid,Valencia,0,1
11/11/1979,1979-1980,Burgos,AD Almería,2,1
11/11/1979,1979-1980,Español,Salamanca,1,1
11/11/1979,1979-1980,Sporting de Gijón,Zaragoza,1,4
11/11/1979,1979-1980,Hércules,Betis,1,1
11/11/1979,1979-1980,CD Málaga,Barcelona,0,0
11/11/1979,1979-1980,Real Sociedad,Real Madrid,4,0
11/11/1979,1979-1980,Sevilla,Rayo Vallecano,1,1
18/11/1979,1979-1980,AD Almería,CD Málaga,3,2
18/11/1979,1979-1980,Athletic Club,Español,2,0
18/11/1979,1979-1980,Barcelona,Sevilla,0,0
18/11/1979,1979-1980,Betis,Sporting de Gijón,1,0
18/11/1979,1979-1980,Rayo Vallecano,Atlético de Madrid,4,1
18/11/1979,1979-1980,Real Madrid,Hércules,5,0
18/11/1979,1979-1980,Salamanca,Real Sociedad,0,1
18/11/1979,1979-1980,Valencia,Las Palmas,4,0
18/11/1979,1979-1980,Zaragoza,Burgos,5,0
25/11/1979,1979-1980,Athletic Club,Valencia,4,0
25/11/1979,1979-1980,Atlético de Madrid,Barcelona,2,1
25/11/1979,1979-1980,Burgos,Betis,1,1
25/11/1979,1979-1980,Español,Real Sociedad,1,2
25/11/1979,1979-1980,Sporting de Gijón,Real Madrid,1,1
25/11/1979,1979-1980,Hércules,Salamanca,4,0
25/11/1979,1979-1980,Las Palmas,Rayo Vallecano,3,0
25/11/1979,1979-1980,CD Málaga,Zaragoza,1,1
25/11/1979,1979-1980,Sevilla,AD Almería,3,1
2/12/1979,1979-1980,AD Almería,Atlético de Madrid,2,1
2/12/1979,1979-1980,Barcelona,Las Palmas,1,0
2/12/1979,1979-1980,Betis,CD Málaga,2,1
2/12/1979,1979-1980,Real Sociedad,Hércules,1,1
2/12/1979,1979-1980,Rayo Vallecano,Athletic Club,2,1
2/12/1979,1979-1980,Real Madrid,Burgos,2,1
2/12/1979,1979-1980,Salamanca,Sporting de Gijón,0,1
2/12/1979,1979-1980,Valencia,Español,5,1
2/12/1979,1979-1980,Zaragoza,Sevilla,1,0
15/12/1979,1979-1980,Las Palmas,AD Almería,3,2
16/12/1979,1979-1980,Athletic Club,Barcelona,2,1
16/12/1979,1979-1980,Atlético de Madrid,Zaragoza,3,0
16/12/1979,1979-1980,Burgos,Salamanca,2,0
16/12/1979,1979-1980,Español,Hércules,0,0
16/12/1979,1979-1980,Sporting de Gijón,Real Sociedad,0,1
16/12/1979,1979-1980,CD Málaga,Real Madrid,1,4
16/12/1979,1979-1980,Sevilla,Betis,2,1
16/12/1979,1979-1980,Valencia,Rayo Vallecano,2,1
30/12/1979,1979-1980,AD Almería,Athletic Club,4,2
30/12/1979,1979-1980,Barcelona,Valencia,2,1
30/12/1979,1979-1980,Betis,Atlético de Madrid,0,0
30/12/1979,1979-1980,Hércules,Sporting de Gijón,1,1
30/12/1979,1979-1980,Real Sociedad,Burgos,2,2
30/12/1979,1979-1980,Rayo Vallecano,Español,2,2
30/12/1979,1979-1980,Real Madrid,Sevilla,2,0
30/12/1979,1979-1980,Salamanca,CD Málaga,3,0
30/12/1979,1979-1980,Zaragoza,Las Palmas,4,0
6/01/1980,1979-1980,Athletic Club,Zaragoza,3,1
6/01/1980,1979-1980,Atlético de Madrid,Real Madrid,1,1
6/01/1980,1979-1980,Burgos,Hércules,1,1
6/01/1980,1979-1980,Español,Sporting de Gijón,1,0
6/01/1980,1979-1980,Las Palmas,Betis,1,0
6/01/1980,1979-1980,CD Málaga,Real Sociedad,0,0
6/01/1980,1979-1980,Rayo Vallecano,Barcelona,0,0
6/01/1980,1979-1980,Sevilla,Salamanca,2,0
6/01/1980,1979-1980,Valencia,AD Almería,1,1
13/01/1980,1979-1980,AD Almería,Rayo Vallecano,3,3
13/01/1980,1979-1980,Betis,Athletic Club,0,0
13/01/1980,1979-1980,Español,Barcelona,2,0
13/01/1980,1979-1980,Sporting de Gijón,Burgos,2,0
13/01/1980,1979-1980,Hércules,CD Málaga,1,0
13/01/1980,1979-1980,Real Sociedad,Sevilla,2,0
13/01/1980,1979-1980,Real Madrid,Las Palmas,3,1
13/01/1980,1979-1980,Salamanca,Atlético de Madrid,1,1
13/01/1980,1979-1980,Zaragoza,Valencia,1,1
20/01/1980,1979-1980,Athletic Club,Real Madrid,3,0
20/01/1980,1979-1980,Atlético de Madrid,Real Sociedad,1,1
20/01/1980,1979-1980,Barcelona,AD Almería,2,0
20/01/1980,1979-1980,Burgos,Español,0,0
20/01/1980,1979-1980,Las Palmas,Salamanca,1,0
20/01/1980,1979-1980,CD Málaga,Sporting de Gijón,0,3
20/01/1980,1979-1980,Rayo Vallecano,Zaragoza,0,1
20/01/1980,1979-1980,Sevilla,Hércules,2,1
20/01/1980,1979-1980,Valencia,Betis,2,2
26/01/1980,1979-1980,Sevilla,Sporting de Gijón,1,0
27/01/1980,1979-1980,AD Almería,Español,1,1
27/01/1980,1979-1980,Athletic Club,Salamanca,2,0
27/01/1980,1979-1980,Atlético de Madrid,Hércules,2,1
27/01/1980,1979-1980,Barcelona,Zaragoza,2,0
27/01/1980,1979-1980,Las Palmas,Real Sociedad,2,2
27/01/1980,1979-1980,CD Málaga,Burgos,3,1
27/01/1980,1979-1980,Rayo Vallecano,Betis,0,1
27/01/1980,1979-1980,Valencia,Real Madrid,2,0
3/02/1980,1979-1980,Betis,Barcelona,2,1
3/02/1980,1979-1980,Burgos,Sevilla,1,0
3/02/1980,1979-1980,Español,CD Málaga,1,1
3/02/1980,1979-1980,Sporting de Gijón,Atlético de Madrid,0,0
3/02/1980,1979-1980,Hércules,Las Palmas,1,0
3/02/1980,1979-1980,Real Sociedad,Athletic Club,4,0
3/02/1980,1979-1980,Real Madrid,Rayo Vallecano,7,0
3/02/1980,1979-1980,Salamanca,Valencia,1,1
3/02/1980,1979-1980,Zaragoza,AD Almería,0,0
10/02/1980,1979-1980,AD Almería,Betis,1,1
10/02/1980,1979-1980,Athletic Club,Hércules,2,1
10/02/1980,1979-1980,Atlético de Madrid,Burgos,1,0
10/02/1980,1979-1980,Barcelona,Real Madrid,0,2
10/02/1980,1979-1980,Las Palmas,Sporting de Gijón,4,2
10/02/1980,1979-1980,Rayo Vallecano,Salamanca,1,2
10/02/1980,1979-1980,Sevilla,CD Málaga,3,1
10/02/1980,1979-1980,Valencia,Real Sociedad,0,0
10/02/1980,1979-1980,Zaragoza,Español,1,1
